BID,CID,IMAGE
600,1,http://www.cocacola.com/creative/cocacola.gif
8467,2,http://www.pepsi.com/creative/pepsi.gif
7222,3,http://www.drpepper.com/creative/drpepper.gif
8076,4,http://www.sprite.com/creative/sprite.gif
8625,5,http://www.sevenup.com/creative/sevenup.gif
2725,6,http://www.nakedjuice.com/creative/nakedjuice.gif
1253,7,http://www.odawala.com/creative/odawala.gif
9667,8,http://www.gatorade.com/creative/gatorade.gif
9900,9,http://www.redbull.com/creative/redbull.gif
7982,10,http://www.monster.com/creative/monster.gif
8109,11,http://www.virginair.com/creative/virginair.gif
8511,12,http://www.americanair.com/creative/americanair.gif
9262,13,http://www.lufthansa.com/creative/lufthansa.gif
3333,14,http://www.deltaair.com/creative/deltaair.gif
196,15,http://www.unitedair.com/creative/unitedair.gif
6589,16,http://www.usairways.com/creative/usairways.gif
2070,17,http://www.airindia.com/creative/airindia.gif
2569,18,http://www.britishair.com/creative/britishair.gif
7986,19,http://www.hawaiiair.com/creative/hawaiiair.gif
7888,20,http://www.emiratesair.com/creative/emiratesair.gif
8660,21,http://www.vdarahotel.com/creative/vdarahotel.gif
9991,22,http://www.mgmresort.com/creative/mgmresort.gif
4317,23,http://www.cosmopolitan.com/creative/cosmopolitan.gif
6780,24,http://www.nynyvegas.com/creative/nynyvegas.gif
3889,25,http://www.excalibur.com/creative/excalibur.gif
78,26,http://www.planethollywood.com/creative/planethollywood.gif
3551,27,http://www.circuscircus.com/creative/circuscircus.gif
6415,28,http://www.treasureisland.com/creative/treasureisland.gif
9208,29,http://www.mandalaybay.com/creative/mandalaybay.gif
5592,30,http://www.miragevegas.com/creative/miragevegas.gif
5951,31,http://www.chikfillet.com/creative/chikfillet.gif
2577,32,http://www.macdonalds.com/creative/macdonalds.gif
9576,33,http://www.subway.com/creative/subway.gif
3243,34,http://www.quiznos.com/creative/quiznos.gif
7733,35,http://www.wendys.com/creative/wendys.gif
4783,36,http://www.arbys.com/creative/arbys.gif
8683,37,http://www.jackinabox.com/creative/jackinabox.gif
6122,38,http://www.burgerking.com/creative/burgerking.gif
4080,39,http://www.tacobell.com/creative/tacobell.gif
4704,40,http://www.pizzahut.com/creative/pizzahut.gif
163,41,http://www.mimiscafe.com/creative/mimiscafe.gif
8208,42,http://www.boilingcrab.com/creative/boilingcrab.gif
8033,43,http://www.redlobster.com/creative/redlobster.gif
2318,44,http://www.olivegarden.com/creative/olivegarden.gif
7419,45,http://www.wokanosgrill.com/creative/wokanosgrill.gif
2388,46,http://www.katsuya.com/creative/katsuya.gif
5530,47,http://www.dennys.com/creative/dennys.gif
7074,48,http://www.ihop.com/creative/ihop.gif
6741,49,http://www.hooters.com/creative/hooters.gif
9091,50,http://www.normscafe.com/creative/normscafe.gif
6242,51,http://www.mobil.com/creative/mobil.gif
3136,52,http://www.shell.com/creative/shell.gif
6058,53,http://www.chevron.com/creative/chevron.gif
7441,54,http://www.76gas.com/creative/76gas.gif
2711,55,http://www.arco.com/creative/arco.gif
4002,56,http://www.wholefoods.com/creative/wholefoods.gif
8388,57,http://www.ralphs.com/creative/ralphs.gif
5129,58,http://www.vons.com/creative/vons.gif
2451,59,http://www.walgreens.com/creative/walgreens.gif
6366,60,http://www.safeway.com/creative/safeway.gif
8102,61,http://www.cvsphasrmacy.com/creative/cvsphasrmacy.gif
5321,62,http://www.99centstore.com/creative/99centstore.gif
6403,63,http://www.motel6.com/creative/motel6.gif
3195,64,http://www.bestvalueinn.com/creative/bestvalueinn.gif
6435,65,http://www.everbridgesuites.com/creative/everbridgesuites.gif
9172,66,http://www.radissonhotel.com/creative/radissonhotel.gif
2715,67,http://www.hyattregency.com/creative/hyattregency.gif
6610,68,http://www.marriottresorts.com/creative/marriottresorts.gif
879,69,http://www.holidayinn.com/creative/holidayinn.gif
2752,70,http://www.hotels.com.com/creative/hotels.com.gif
8681,71,http://www.appletv.com/creative/appletv.gif
601,1,http://www.cocacola.com/creative/cocacola2.gif
9612,72,http://www.appleiphone.com/creative/appleiphone.gif
5435,73,http://www.appleipad.com/creative/appleipad.gif
4104,74,http://www.applemacbook.com/creative/applemacbook.gif
2943,75,http://www.appleimac.com/creative/appleimac.gif
2568,76,http://www.nationwideinsurance.com/creative/nationwideinsurance.gif
2157,77,http://www.statefarminsurance.com/creative/statefarminsurance.gif
3943,78,http://www.farmersinsurance.com/creative/farmersinsurance.gif
6100,79,http://www.geicoinsurance.com/creative/geicoinsurance.gif
2283,80,http://www.mercuryinsurance.com/creative/mercuryinsurance.gif
9134,81,http://www.fordfusion.com/creative/fordfusion.gif
6324,82,http://www.fordfocus.com/creative/fordfocus.gif
6938,83,http://www.fordtrucks.com/creative/fordtrucks.gif
6721,84,http://www.infinityfx35.com/creative/infinityfx35.gif
4034,85,http://www.audi.com/creative/audi.gif
100,86,http://www.bmw.com/creative/bmw.gif
5826,87,http://www.mercedesbenz.com/creative/mercedesbenz.gif
7156,88,http://www.chevrolet.com/creative/chevrolet.gif
2922,89,http://www.dodge.com/creative/dodge.gif
5568,90,http://www.attmobile.com/creative/attmobile.gif
5730,91,http://www.tmobile.com/creative/tmobile.gif
5051,92,http://www.verizonwireless.com/creative/verizonwireless.gif
7286,93,http://www.sprintmobile.com/creative/sprintmobile.gif
2463,94,http://www.boostmobile.com/creative/boostmobile.gif
2048,95,http://www.toyota.com/creative/toyota.gif
7352,96,http://www.honda.com/creative/honda.gif
4902,97,http://www.cadillac.com/creative/cadillac.gif
2869,98,http://www.minicooper.com/creative/minicooper.gif
3221,99,http://www.amctheaters.com/creative/amctheaters.gif
605,100,http://www.myspacemusic.com/creative/myspacemusic.gif
